strains,species,species_color,strains2,diversity2,color2
Pseudomonas_aeruginosa_AU9381_3927,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AU9381_3927,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AU10014_3929,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AU10014_3929,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AZPAE14971_2198,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AZPAE14971_2198,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AZPAE14926_2166,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AZPAE14926_2166,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AMT0046-109_10179,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AMT0046-109_10179,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_MRSN18560_10693,aeruginosa,#D7261C,Pseudomonas_aeruginosa_MRSN18560_10693,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_4014_7122,aeruginosa,#D7261C,Pseudomonas_aeruginosa_4014_7122,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_HIAE_PA16_6967,aeruginosa,#D7261C,Pseudomonas_aeruginosa_HIAE_PA16_6967,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_GO32_12028,aeruginosa,#D7261C,Pseudomonas_aeruginosa_GO32_12028,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_isolate_TSB_7_3238,aeruginosa,#D7261C,Pseudomonas_aeruginosa_isolate_TSB_7_3238,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AZPAE14864_2119,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AZPAE14864_2119,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_Ps1_3316,aeruginosa,#D7261C,Pseudomonas_aeruginosa_Ps1_3316,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_NCTC8203_7285,aeruginosa,#D7261C,Pseudomonas_aeruginosa_NCTC8203_7285,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_Ps2_3315,aeruginosa,#D7261C,Pseudomonas_aeruginosa_Ps2_3315,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_C1913C_isolate_C1913C_9509,aeruginosa,#D7261C,Pseudomonas_aeruginosa_C1913C_isolate_C1913C_9509,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_env140_6307,aeruginosa,#D7261C,Pseudomonas_aeruginosa_env140_6307,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_HIAE_PA01_7214,aeruginosa,#D7261C,Pseudomonas_aeruginosa_HIAE_PA01_7214,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_41004355322_10900,aeruginosa,#D7261C,Pseudomonas_aeruginosa_41004355322_10900,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_E2_10011,aeruginosa,#D7261C,Pseudomonas_aeruginosa_E2_10011,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_E1_T4189_10000,aeruginosa,#D7261C,Pseudomonas_aeruginosa_E1_T4189_10000,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_CCUG_59626_11973,aeruginosa,#D7261C,Pseudomonas_aeruginosa_CCUG_59626_11973,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PAC9A_11033,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PAC9A_11033,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_6004_10913,aeruginosa,#D7261C,Pseudomonas_aeruginosa_6004_10913,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_T3354_10635,aeruginosa,#D7261C,Pseudomonas_aeruginosa_T3354_10635,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_HCF55_10542,aeruginosa,#D7261C,Pseudomonas_aeruginosa_HCF55_10542,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AUS327_10287,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AUS327_10287,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_60861_10911,aeruginosa,#D7261C,Pseudomonas_aeruginosa_60861_10911,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_NCTC12449_5914,aeruginosa,#D7261C,Pseudomonas_aeruginosa_NCTC12449_5914,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_SCH_ABX20_5080,aeruginosa,#D7261C,Pseudomonas_aeruginosa_SCH_ABX20_5080,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AUS105_10216,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AUS105_10216,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PA220_12056,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PA220_12056,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_S619_C13_RS_6824,aeruginosa,#D7261C,Pseudomonas_aeruginosa_S619_C13_RS_6824,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_SCH_ABX15_5688,aeruginosa,#D7261C,Pseudomonas_aeruginosa_SCH_ABX15_5688,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_S2239_15_10102,aeruginosa,#D7261C,Pseudomonas_aeruginosa_S2239_15_10102,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_5034388498-20_10898,aeruginosa,#D7261C,Pseudomonas_aeruginosa_5034388498-20_10898,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_MRSN16383_10485,aeruginosa,#D7261C,Pseudomonas_aeruginosa_MRSN16383_10485,1.54879976589477,#CECFE5
